"","id","sex","age","rank_ba","rank_cg","rank_nb","roost"
"120","VNB_H_CG",NA,"J",NA,NA,NA,1
"121","VPO_H_CG","M","A",NA,NA,NA,1
"122","VOG_H_CG",NA,"J",NA,NA,NA,1
"123","X42",NA,NA,NA,NA,NA,1
"124","PBP_H_CG","F","A",NA,NA,NA,1
"125","VNG_V_CG",NA,NA,NA,NA,NA,1
"126","unmarked1",NA,NA,NA,NA,NA,NA
"127","VPB_H_CG","F","A",NA,NA,NA,1
"128","X35",NA,NA,NA,NA,NA,1
"129","TOG_H_CG","M","A",NA,NA,NA,1
"130","TNT_H_CG",NA,NA,NA,NA,NA,1
"131","X78",NA,NA,NA,NA,NA,1
"132","BGN_V_BA",NA,NA,NA,NA,NA,2
"133","TGO_H_CG","M","J",NA,NA,NA,1
"134","PNG_H_CG","M","A",NA,NA,NA,1
"135","VM_H_CG","F","A",NA,NA,NA,1
"136","TGN_V_CG",NA,NA,NA,NA,NA,1
"137","OBT_V_BA",NA,NA,NA,NA,NA,2
"138","PT_H_CG","F","A",NA,NA,NA,1
"139","NOP_H_CG","M",NA,NA,NA,NA,1
"140","PNV_H_CG","M","A",NA,NA,NA,1
"141","VG_H_CG","M","J",NA,NA,NA,1
"142","PTP_V_CG",NA,NA,NA,NA,NA,1
"143","PNP_V_CG",NA,NA,NA,NA,NA,1
"144","TG_H_CG","M","A",NA,NA,NA,1
"145","BGO_V_BA","F",NA,NA,NA,NA,2
"146","TNP_V_CG",NA,NA,NA,NA,NA,1
"147","VTO_H_CG","M","A",NA,NA,NA,1
"148","PMG_H_CG","F",NA,NA,NA,NA,1
"149","unmarked2",NA,NA,NA,NA,NA,NA
"150","PNO_H_CG","M","J",NA,NA,NA,1
"151","VP_V_CG",NA,NA,NA,NA,NA,1
"152","VNV_H_CG","F","J",NA,NA,NA,1
"153","TPT_V_CG",NA,NA,NA,NA,NA,1
"154","MNG_V_BA","M","A",NA,NA,NA,2
"155","PMT_H_CG","F","J",NA,NA,NA,1
"156","TNV_V_CG",NA,NA,NA,NA,NA,1
"157","PNB_H_CG","F","A",NA,NA,NA,1
"158","VBP_H_CG","M","A",NA,NA,NA,1
"159","PVB_H_CG",NA,"J",NA,NA,NA,1
"160","MVB_V_BA",NA,NA,NA,NA,NA,2
"161","TVP_V_BA",NA,NA,NA,NA,NA,2
"162","NGN_V_MA","F","A",NA,NA,NA,4
"163","VPT_H_CG","M","J",NA,NA,NA,1
"164","PTB1_V_NB","M",NA,NA,NA,NA,3
"165","OGB_V_BA",NA,"J",NA,NA,NA,2
"166","TBT_V_BA",NA,NA,NA,NA,NA,2
"167","GB_V_NB",NA,NA,NA,NA,NA,3
"168","PMT_V_NB","M","A",NA,NA,NA,3
"169","MOG_V_BA","M","A",NA,NA,NA,2
"170","BNG_V_BA","F","J",NA,NA,NA,2
"171","PMV_V_NB","M","A",NA,NA,NA,3
"172","GN_V_NB","M","A",NA,NA,NA,3
"173","PO_V_NB",NA,"J",NA,NA,NA,3
"174","BGB_V_BA",NA,NA,NA,NA,NA,2
"175","MBT_V_BA","M","A",NA,NA,NA,2
"176","OTP_V_BA","M","A",NA,NA,NA,2
"177","PON_V_NB",NA,NA,NA,NA,NA,3
"178","TVN_V_BA",NA,"J",NA,NA,NA,2
"179","GMG_V_NB",NA,NA,NA,NA,NA,3
"180","Ncrest_NB",NA,NA,NA,NA,NA,3
"181","GPO_V_NB","F","A",NA,NA,NA,3
"182","GNT_V_NB","M","A",NA,NA,NA,3
"183","GMP_V_NB",NA,"J",NA,NA,NA,3
"184","GV_V_NB","M","J",NA,NA,NA,3
"185","POB_V_NB","M","A",NA,NA,NA,3
"186","GT_V_NB",NA,"J",NA,NA,NA,3
"187","ONG_V_BA","M",NA,NA,NA,NA,2
"188","BTG_V_BA",NA,"J",NA,NA,NA,2
"189","X115",NA,NA,NA,NA,NA,2
"190","POG_V_NB","M","A",NA,NA,NA,3
"191","PGO_V_NB","F","A",NA,NA,NA,3
"192","GTG_V_NB","F","A",NA,NA,NA,3
"193","TPT_V_BA",NA,"J",NA,NA,NA,2
"194","Ocheek_NB","F","A",NA,NA,NA,3
"195","PN_V_NB","F","A",NA,NA,NA,3
"196","TB_V_BA","F","A",NA,NA,NA,2
"197","PTVP_V_NB",NA,NA,NA,NA,NA,3
"198","VPO_V_NB",NA,NA,NA,NA,NA,3
"199","OMT_V_BA","F","A",NA,NA,NA,2
"200","GBN_V_NB",NA,NA,NA,NA,NA,3
"201","PTN_V_NB","F","A",NA,NA,NA,3
"202","PVO_V_NB","M",NA,NA,NA,NA,3
"203","GNV_V_NB",NA,"J",NA,NA,NA,3
"204","VT_V_NB",NA,NA,NA,NA,NA,3
"205","PVG_V_NB",NA,NA,NA,NA,NA,3
"206","OB_V_BA",NA,"J",NA,NA,NA,2
"207","GP_V_NB",NA,NA,NA,NA,NA,3
"208","PT_V_NB",NA,NA,NA,NA,NA,3
"209","NB_V_MA",NA,NA,NA,NA,NA,4
"210","ON_H_MA","F","J",NA,NA,NA,4
"211","solving.BFD.bird",NA,NA,NA,NA,NA,4
"212","NBG_V_MA","F","J",NA,NA,NA,4
"213","ONO_H_MA",NA,"J",NA,NA,NA,4
"214","OMO_H_MA",NA,NA,NA,NA,NA,4
"215","NOP_V_MA","F","J",NA,NA,NA,4
"216","GNB_V_NB",NA,NA,NA,NA,NA,3
"217","OBM_H_MA","F","A",NA,NA,NA,4
"218","OGT_H_MA",NA,"J",NA,NA,NA,4
"219","NTG_V_MA","F","A",NA,NA,NA,4
"220","OVO_H_MA",NA,"J",NA,NA,NA,4
"221","ONV_H_MA",NA,NA,NA,NA,NA,4
"222","OVM_H_MA",NA,"J",NA,NA,NA,4
"223","NM_V_MA",NA,NA,NA,NA,NA,4
"224","OMP_H_MA",NA,"J",NA,NA,NA,4
"225","OTG_H_MA","","",NA,NA,NA,4
"226","NP_V_MA","M","A",NA,NA,NA,4
"227","OVB_H_MA",NA,"J",NA,NA,NA,4
"228","NBM_H_MA",NA,NA,NA,NA,NA,4
"229","OMB_H_MA","F","A",NA,NA,NA,4
"230","OVN_H_MA",NA,NA,NA,NA,NA,4
"231","ONM_H_MA","","",NA,NA,NA,4
"232","OP_H_MA",NA,"J",NA,NA,NA,4
"233","Goatie",NA,NA,NA,NA,NA,4
"234","NO_V_MA",NA,NA,NA,NA,NA,4
"235","OMG_H_MA",NA,"J",NA,NA,NA,4
"236","OB_H_MA","F","A",NA,NA,NA,4
"237","NxG_V_MA",NA,NA,NA,NA,NA,4
"238","OGM_H_MA",NA,"J",NA,NA,NA,4
"239","GNB_V_BA",NA,NA,NA,NA,NA,2
"240","NG_V_MA","M","A",NA,NA,NA,4
"241","OM_H_MA","M","J",NA,NA,NA,4
"242","PMB_V_NB","M","J",NA,NA,NA,3
"243","NT_H_MA",NA,NA,NA,NA,NA,4
"244","OBP_H_MA","M","A",NA,NA,NA,4
"245","NVT_V_MA","M",NA,NA,NA,NA,4
"246","OMN_H_MA","M","A",NA,NA,NA,4
"247","MGN_V_BA","F","A",NA,NA,NA,2
"248","OMT_H_MA",NA,"J",NA,NA,NA,4
"249","OVP_H_MA",NA,NA,NA,NA,NA,4
"250","OVG_H_MA","F","A",NA,NA,NA,4
"251","OT_H_MA","F","J",NA,NA,NA,4
"252","OBO_H_MA",NA,"J",NA,NA,NA,4
"253","NGT_V_MA","M","A",NA,NA,NA,4
"254","MGB_V_BA","F","A",NA,NA,NA,2
"255","NBV_V_MA",NA,NA,NA,NA,NA,4
"256","ONG_H_MA","","",NA,NA,NA,4
"257","OGV_H_MA","M","A",NA,NA,NA,4
