"","MVT_V_BA","BVP_V_BA","BPO_V_BA","BTP_V_BA","BON_V_BA","MVG_V_BA","ONP_V_BA","NGO_V_MA","MTP_V_BA","OPV_V_BA","BOM_V_BA","PTP_V_NB","OMN_V_BA","BGP_V_BA","TMG_V_BA","BPG_V_BA","BNO_V_BA","OVN_V_BA","ONT_V_BA","X118","BVB_V_BA","BMN_V_BA","TOP_V_BA","OP_V_BA","OVM_V_BA","TMP_V_BA","BTV_V_BA","BPB_V_BA","BPT_V_BA","PVT_H_CG","NOT_V_MA","OGM_V_BA","MGO_V_BA","OMN_VBA","BT_V_BA","OPB_V_BA","BGO_V_BA","NGP_V_MA","N_V_BA","BGV_V_BA","OGV_V_BA","MGV_V_BA","TPN_V_BA","MTV_V_BA","OVP_V_BA","OMG_V_BA","TMB_V_BA","BOG_V_BA","TNO_V_BA","ONV_V_BA","ONO_V_BA","TNP_V_BA","TO_H_CG","TPV_V_BA","OMB_V_BA","OPG_V_BA","OT_V_BA","TGT_V_BA","BNV_V_BA","BVM_V_BA","MVB_V_BA","B_V_BA","BTB_V_BA","X136","MOT_V_BA","OMOG_V_BA","MTM_V_BA","VPG_V_BA","MPG_V_BA","BG_V_BA","TVG_V_BA","VPT_V_BA","TNB_V_BA","MVP_V_BA","TBG_V_BA","MTB_V_BA","BV_V_BA","Msmu_BA","OMP_V_BA","TVP_V_BA","BVN_V_BA","MGM_V_BA","TNP_H_CG","MNP_V_BA","TPM_V_BA","BMP_V_BA","NTM_V_MA","BMV_V_BA","NOB_V_MA","BGVN_V_BA","BBV_V_BA","PVN_V_NB","MPV_V_BA","BOB_V_BA","TNV_H_CG","VR_H_CG","TV_H_CG","MPN_V_BA","TVP_H_CG","BP_V_BA","VBV_V_BA","BGM_V_BA","BPV_V_BA","BMG_V_BA","VBV_H_CG","TPV_H_CG","PTV_H_CG","OTBb_V_BA"
"NOB_V_MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BGVN_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BBV_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PVN_V_NB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MPV_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOB_V_BA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TNV_H_CG",0.049169634,NA,NA,NA,NA,NA,NA,0.004506991,NA,0,NA,0.001575088,0,0.005084485,0,NA,NA,0,NA,0.002814325,0.001330766,0,0.003057817,0.007810573,0,0,0,NA,NA,0.006714383,0,0.002470199,NA,NA,NA,NA,0,0,0.001896001,0.126265771,NA,0,0.027564609,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0.003408978,0.026073466,NA,NA,NA,0.002089515,NA,NA,0.003513309,0,NA,NA,0.002439182,0.002989846,0,0.002512968,NA,0.014100287,NA,NA,NA,0,0,NA,0,NA,0.006507037,0,0.009824397,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,NA,NA,NA,NA,0,0.034057924,NA,0.0017619,NA
"VR_H_CG",0.005520137,NA,NA,NA,NA,NA,NA,0,NA,0.229514455,NA,0.005511121,0,0.034747813,0,NA,NA,0.02189411,NA,0.006480319,0,0,0.001397207,0.002340256,0,0,0.027846507,NA,NA,0.028030963,0,0,NA,NA,NA,NA,0.048468691,0.045052437,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,0.01350442,NA,NA,0.001987212,0,NA,NA,0,0,0.004809995,0,NA,0,NA,NA,NA,0.012164927,0,NA,0,NA,0.038661161,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0.04341999,0.013582166,NA,NA,NA,NA,0.032679361,0,NA,0,NA
"TV_H_CG",0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0.040138067,0,0,NA,NA,0,NA,0,0.001926998,0,0,0.02186915,0,0.114275694,0,NA,NA,0.002364824,0,0,NA,NA,NA,NA,0,0,0,0.002628555,NA,0.001865516,0,0.003916281,0.007194919,0.00341568,NA,NA,0.038215214,0,NA,NA,NA,NA,0,0,NA,NA,NA,0.006786115,NA,NA,0.00162737,0,NA,NA,0,0.006781862,0,0,NA,0.003715444,NA,NA,NA,0,0,NA,0,NA,0,0,0,NA,NA,0.002552169,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.5,0,0.014151427,NA,NA,NA,NA,0,0,NA,0,NA
"MPN_V_BA",0,NA,NA,NA,NA,NA,NA,0,NA,0.086728394,NA,0,0.003996262,0.003187156,0,NA,NA,0.031327606,NA,0,0,0,0,0,0,0.005172124,0,NA,NA,0,0,0,NA,NA,NA,NA,0.280819989,0.259123716,0,0,NA,0,0,0.010344693,0,0,NA,NA,0,0.017369715,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,0,0,0.008104948,NA,0,NA,NA,NA,0.007435721,0,NA,0.007778437,NA,0,0,0,NA,NA,0.002406162,NA,NA,NA,NA,NA,NA,NA,NA,0,0.04341999,0,0.5,0,NA,NA,NA,NA,0.010474743,0.001259048,NA,0,NA
