"date","group","session","rel.time","subject","behav1","behav2","type","change","time_hh_min"
20190815,"BA",1,895.688,"BPO_V_BA","R","op","primary",FALSE,1414.92813333333
20190815,"BA",1,913.369,"BGP_V_BA","R","op","primary",FALSE,1415.22281666667
20190815,"BA",1,915.815,"OMN_V_BA","R","op","primary",FALSE,1415.26358333333
20190815,"BA",1,935.279,"OPV_V_BA","R","op","primary",FALSE,1415.58798333333
20190815,"BA",1,939.922,"BPO_V_BA","R","op","primary",FALSE,1415.66536666667
20190815,"BA",1,943.977,"PTP_V_NB","R","op","primary",FALSE,1415.73295
20190815,"BA",1,959.448,"BGP_V_BA","R","op","primary",FALSE,1415.9908
20190815,"BA",1,979.497,"BPO_V_BA","R","op","primary",FALSE,1416.32495
20190815,"BA",1,986.532,"BPO_V_BA","B","op","primary",FALSE,1416.4422
20190815,"BA",1,993.902,"BPO_V_BA","B","op","primary",FALSE,1416.56503333333
20190815,"BA",1,1013.606,"BOM_V_BA","R","op","primary",FALSE,1416.89343333333
20190815,"BA",1,1017.441,"MTP_V_BA","R","op","primary",FALSE,1416.95735
20190815,"BA",1,1022.342,"BPO_V_BA","B","op","primary",FALSE,1417.03903333333
20190815,"BA",1,1052.141,"BPO_V_BA","B","op","primary",FALSE,1417.53568333333
20190815,"BA",1,1066.376,"BGP_V_BA","R","op","primary",FALSE,1417.77293333333
20190815,"BA",1,1076.324,"OPV_V_BA","R","op","primary",FALSE,1417.93873333333
20190815,"BA",1,1086.144,"BPO_V_BA","R","op","primary",FALSE,1418.1024
20190815,"BA",1,1107.347,"BPO_V_BA","R","op","primary",FALSE,1418.45578333333
20190815,"BA",1,1114.771,"OPV_V_BA","R","op","primary",FALSE,1418.57951666667
20190815,"BA",1,1122.183,"TMG_V_BA","R","op","primary",FALSE,1418.70305
20190815,"BA",1,1141.633,"BPO_V_BA","R","op","primary",FALSE,1419.02721666667
20190815,"BA",1,1158.958,"MTP_V_BA","B","op","primary",FALSE,1419.31596666667
20190815,"BA",1,1164.656,"BOM_V_BA","R","op","primary",FALSE,1419.41093333333
20190815,"BA",1,1189.158,"OMN_V_BA","R","op","primary",FALSE,1419.8193
20190815,"BA",1,1195.606,"BPO_V_BA","R","op","primary",FALSE,1419.92676666667
20190815,"BA",1,1199.054,"PTP_V_NB","R","op","primary",FALSE,1419.98423333333
20190815,"BA",1,1259.931,"BPO_V_BA","R","op","primary",FALSE,1420.99885
20190815,"BA",1,1273.958,"BOM_V_BA","R","op","primary",FALSE,1421.23263333333
20190815,"BA",1,1287.207,"BPG_V_BA","R","op","primary",FALSE,1421.45345
