"","ID","ROOST"
"224","NBN_V_MA",NA
"225","NBO_V_MA",NA
"226","NBO_V_MA.1",NA
"227","NBP_V_MA",NA
"228","NBP_V_MA.1",NA
"229","NBT_V_MA",NA
"230","NBT_V_MA.1",NA
"231","NBV_V_MA",NA
"232","Ncrest_V",3
"233","NG_H_BG",NA
"234","NG_V_MA",NA
"235","NGB_V_MA",NA
"236","NGN_V_MA",NA
"237","NGO_V_MA",1
"238","NGO_V_MA.1",NA
"239","NGP_V_MA",1
"240","NGP_V_MA.1",NA
"241","NGT_V_MA",NA
"242","NGT_V_MA.1",NA
"243","NGV_V_MA",NA
"244","NM_H_BG",3
"245","NM_V_MA",NA
"246","NMB_V_MA",NA
"247","Nneck_MA",NA
"248","NO_H_BG",NA
"249","NO_V_MA",NA
"250","NOB_V_MA",1
"251","NOB_V_MA.1",NA
"252","NOG_H_BG",NA
"253","NOG_V_MA",NA
"254","NOG_V_MA.1",NA
"255","NOM_H_BG",NA
"256","NOM_V_MA",NA
"257","NON_H_BG",NA
"258","NON_V_MA",NA
"259","NOP_H_BG",NA
"260","NOP_H_CG",2
"261","NOP_V_MA",NA
"262","NOT_V_MA",1
"263","NOT_V_MA.1",NA
"264","NOV_V_MA",NA
"265","NOV_V_MA.1",NA
"266","NP_H_BG",NA
"267","NP_V_MA",NA
"268","NPB_H_BG",NA
"269","NPB_V_MA",NA
"270","NPG_H_BG",NA
"271","NPG_V_MA",NA
"272","NPG_V_MA.1",NA
"273","NPM_H_BG",NA
"274","NPN_H_BG",2
"275","NPN_V_MA",NA
"276","NPO_H_BG",2
"277","NPO_V_MA",NA
"278","NPON_H_BG",NA
"279","NPT_H_BG",NA
"280","NPT_H_BG.1",NA
"281","NPV_H_BG",NA
"282","NPV_V_MA",1
"283","Nsmu_MA",NA
"284","NT_H_BG",NA
"285","NT_V_MA",NA
"286","NTB_V_MA",NA
"287","NTB_V_MA.1",NA
"288","NTG_V_MA",NA
"289","NTG_V_MA.1",NA
"290","NTM_V_MA",3
"291","NTN_V_MA",NA
"292","NTO_V_MA",NA
"293","NTO_V_MA.1",NA
"294","NTP_V_MA",NA
"295","NTP_V_MA.1",NA
"296","NTV_V_MA",NA
"297","NTV_V_MA.1",NA
"298","NV_H_BG",NA
"299","NV_V_MA",NA
"300","NV_V_MA.1",NA
"301","NVB_H_BG",NA
"302","NVB_V_MA",NA
"303","NVG_V_MA",NA
"304","NVM_H_BG",NA
"305","NVN_H_BG",NA
"306","NVN_V_MA",NA
"307","NVO_H_BG",NA
"308","NVO_V_MA",NA
"309","NVP_H_BG",NA
"310","NVP_V_MA",NA
"311","NVT_H_BG",NA
"312","NVT_V_MA",NA
"313","O_H_MA",3
"314","OB_H_MA",NA
"315","OB_V_BA",3
"316","OBG_H_MA",NA
"317","OBG_H_MA.1",NA
"318","OBG_V_BA",NA
"319","OBM_H_MA",NA
"320","OBM_H_MA.1",NA
"321","OBM_V_BA",1
"322","OBN_H_MA",NA
"323","OBN_H_MA.1",NA
"324","OBN_V_BA",1
"325","OBO_H_MA",NA
"326","OBO_H_MA.1",NA
"327","OBO_V_BA",1
"328","OBP_H_MA",NA
"329","OBP_H_MA.1",NA
"330","OBP_V_BA",3
"331","OBT_H_MA",NA
"332","OBT_H_MA.1",NA
"333","OBT_V_BA",2
"334","OBV_H_MA",NA
"335","OBV_H_MA.1",NA
"336","OBV_V_BA",1
"337","Ocheek._NB",3
"338","OG_H_MA",NA
"339","OG_V_BA",1
"340","OG_V_BA.1",NA
"341","OGB_H_MA",NA
"342","OGB_V_BA",1
"343","OGM_H_MA",NA
"344","OGM_V_BA",3
"345","OGN_H_MA",NA
"346","OGN_V_BA",1
"347","OGO_H_MA",2
"348","OGO_V_BA",3
"349","OGO_V_BA.1",NA
"350","OGP_H_MA",NA
"351","OGP_V_BA",1
"352","OGT_H_MA",NA
"353","OGT_V_BA",1
"354","OGV_H_MA",NA
"355","OGV_V_BA",1
"356","OM_H_MA",NA
"357","OM_H_MA.1",NA
"358","OMB_H_MA",NA
"359","OMB_V_BA",3
"360","OMG_H_MA",NA
"361","OMG_V_BA",1
"362","OMN_H_MA",NA
"363","OMN_V_BA",1
"364","OMO_H_MA",NA
"365","OMO_V_BA",3
"366","OMOG_V_BA",1
"367","OMP_H_MA",NA
"368","OMP_V_BA",NA
"369","OMT_H_MA",NA
"370","OMT_V_BA",1
"371","OMV_H_MA",NA
"372","OMV_V_BA",NA
"373","ON_H_MA",NA
"374","ON_V_BA",NA
"375","ONB_H_MA",NA
"376","ONB_V_BA",1
"377","ONG_H_MA",NA
"378","ONG_V_BA",3
"379","ONM_H_MA",NA
"380","ONM_V_BA",3
"381","ONO_H_MA",NA
"382","ONO_V_BA",1
"383","ONP_V_BA",1
"384","ONT_H_MA",NA
"385","ONT_V_BA",1
"386","ONV_H_MA",NA
"387","ONV_V_BA",1
"388","ONVT_V_BA",1
"389","OP_H_MA",NA
"390","OP_V_BA",1
"391","OPB_H_MA",NA
"392","OPB_V_BA",3
"393","OPG_H_MA",NA
"394","OPG_V_BA",3
"395","OPM_H_MA",NA
"396","OPM_V_BA",NA
"397","OPN_H_MA",NA
"398","OPN_V_BA",1
"399","OPO_H_MA",NA
"400","OPO_V_BA",NA
"401","OPT_H_MA",NA
"402","OPT_V_BA",NA
"403","OPV_H_MA",NA
"404","OPV_V_BA",2
"405","Osmu_BA",NA
"406","OT_H_MA",NA
"407","OT_V_BA",1
"408","OTB_V_BA",1
"409","OTBO_V_BA",1
"410","OTG_H_MA",NA
"411","OTG_V_BA.",NA
"412","OTM_V_BA",1
"413","OTN_V_BA",NA
"414","OTO_H_MA",NA
"415","OTO_V_BA",NA
"416","OTP_H_MA",NA
"417","OTP_V_BA",2
"418","OTVT_V_BA",1
"419","OU_V_BA",NA
"420","OV_H_MA",NA
"421","OV_V_BA",NA
"422","OVB_H_MA",NA
"423","OVB_V_BA",3
"424","OVBO_H_MA",NA
"425","OVG_H_MA",NA
"426","OVG_V_BA",1
"427","OVM_H_MA",NA
"428","OVM_V_BA",1
"429","OVN_H_MA",NA
"430","OVN_V_BA",1
"431","OVO_H_MA",NA
"432","OVO_V_BA",3
"433","OVP_H_MA",NA
"434","OVP_V_BA",1
"435","OVT_H_MA",NA
"436","P_V_NB",NA
"437","P_V_NV",3
"438","PBG_H_CG",2
"439","PBG_V_NB",3
"440","PBN_H_CG",3
"441","PBN_V_NB",NA
"442","PBO_V_NB",NA
"443","PBP_H_CG",2
"444","PBP_V_NB",NA
"445","PBT_V_CG",NA
"446","PBT_V_NB",NA
"447","PBV_H_CG",NA
"448","PG_V_NB",3
"449","PGB_V_NB",3
"450","PGM_V_BA",NA
"451","PGN_V_NB",NA
"452","PGO_H_CG",2
"453","PGO_V_NB",3
"454","PGP_V_NB",NA
"455","PGV_V_NB",NA
"456","PM_V_CG",NA
"457","PMB_V_NB",NA
"458","PMG_H_CG",2
"459","PMG_V_NB",NA
