"","ID","sex","age","rank_ba","rank_cg","rank_nb","roost"
"120","GT_V_NB",NA,"J",NA,NA,21,3
"121","ONG_V_BA","M",NA,30,NA,12,3
"122","BTG_V_BA",NA,"J",NA,NA,47,3
"123","X115","M","A",NA,NA,7,3
"124","OMG_V_BA","F","J",NA,NA,42,2
"125","POG_V_NB","M","A",NA,NA,2,3
"126","BOG_V_BA",NA,"J",74,56,NA,1
"127","PGO_V_NB","F","A",NA,NA,15,3
"128","TNG_V_BA",NA,"J",NA,NA,NA,NA
"129","PNP_V_CG",NA,NA,NA,NA,NA,NA
"130","TG_H_CG","M","A",NA,31,NA,1
"131","VR_H_CG","M","J",NA,37,NA,1
"132","BGO_V_BA","F","A",72,87,NA,1
"133","TNP_V_CG",NA,NA,NA,NA,NA,NA
"134","PMG_H_CG","F","J",NA,74,NA,1
"135","unmarked2",NA,NA,NA,NA,NA,NA
"136","PNO_H_CG","M","J",NA,82,NA,1
"137","VP_V_CG",NA,NA,NA,NA,NA,NA
"138","TPN_V_BA","M","J",88,NA,NA,2
"139","TNO_V_BA","M",NA,NA,NA,NA,2
"140","ONO_V_BA","F","A",NA,NA,NA,2
"141","TNP_V_BA",NA,"J",NA,NA,NA,NA
"142","TO_H_CG","M","A",NA,NA,NA,2
"143","TPV_V_BA",NA,"J",NA,NA,NA,NA
"144","OMB_V_BA","M",NA,89,NA,NA,3
"145","OPG_V_BA","F","A",73,NA,17,3
"146","OT_V_BA",NA,NA,NA,NA,NA,2
"147","TGT_V_BA","M","A",16,NA,NA,2
"148","BNV_V_BA","M","A",68,47,NA,2
"149","GTG_V_NB","F","A",NA,NA,NA,3
"150","TPT_V_BA",NA,"J",NA,NA,36,3
"151","Ocheek_NB","F","A",NA,NA,NA,3
"152","PN_V_NB","F","A",NA,NA,61,3
"153","unknown ID, G on Lneck",NA,NA,NA,NA,NA,NA
"154","GNP_V_NB",NA,"J",NA,NA,NA,NA
"155","TB_V_BA","F","A",123,NA,NA,2
"156","GM_V_NB","F","A",NA,NA,28,3
"157","PVT_V_NB",NA,NA,NA,NA,NA,NA
"158","PTV_H_CG","M",NA,NA,NA,NA,1
"159","VNV_H_CG","F","J",NA,16,NA,1
"160","TPT_V_CG",NA,NA,NA,NA,NA,NA
"161","TVT_V_CG",NA,NA,NA,NA,NA,NA
"162","VGT_H_CG","F","A",NA,NA,NA,NA
"163","BVM_V_BA","M","A",17,NA,NA,2
"164","MVB_N_BA",NA,NA,NA,NA,NA,NA
"165","B_V_BA","M","A",7,NA,NA,2
"166","BTB_V_BA",NA,"J",125,NA,NA,2
"167","X136","M","J",47,NA,NA,2
"168","MOT_V_BA",NA,NA,NA,NA,NA,2
"169","OMOG_V_BA","F","A",71,NA,NA,2
"170","BMP_V_BA","F","J",91,NA,51,3
"171","VPO_V_NB",NA,NA,NA,NA,NA,3
"172","PTG_V_NB",NA,NA,NA,NA,NA,3
"173","BGVN_V_BA",NA,"J",NA,NA,NA,2
"174","OMT_V_BA","F","A",121,NA,NA,2
"175","MNG_V_BA","M","A",NA,43,NA,1
"176","PMT_H_CG","F","J",NA,60,NA,3
"177","MPG_V_BA","F","A",105,NA,NA,2
"178","VPG_V_BA","M",NA,NA,NA,20,3
"179","TVG_V_BA",NA,"J",NA,NA,NA,3
"180","VPT_V_BA","F","J",NA,NA,58,3
"181","TNB_V_BA",NA,NA,NA,NA,NA,NA
"182","MVP_V_BA",NA,NA,NA,NA,NA,2
"183","TBG_V_BA",NA,NA,26,NA,NA,2
"184","MTB_V_BA","F",NA,99,NA,NA,2
"185","GBN_V_NB",NA,NA,NA,NA,52,3
"186","PTN_V_NB","F","A",NA,NA,NA,3
"187","PVO_V_NB","M",NA,NA,NA,NA,3
"188","GNV_V_NB",NA,"J",NA,NA,48,3
"189","VT_V_NB",NA,NA,NA,NA,NA,NA
"190","PVG_V_NB",NA,NA,NA,NA,NA,NA
"191","OB_V_BA",NA,"J",34,NA,23,3
"192","MGM_V_BA","M","J",82,NA,NA,2
"193","TNV_V_CG",NA,NA,NA,NA,NA,NA
"194","PBN_V_CG",NA,NA,NA,NA,NA,NA
"195","VBP_H_CG","M","A",NA,13,NA,1
"196","BBV_V_BA","M","A",NA,24,NA,2
"197","PVB_H_CG",NA,"J",NA,21,NA,NA
"198","BVN_V_BA","F","A",94,NA,NA,2
"199","TNP_H_CG","M",NA,NA,30,NA,1
"200","NTM_V_MA",NA,"J",NA,NA,NA,3
"201","MNP_V_BA",NA,NA,98,NA,NA,2
"202","BMV_V_BA","M","A",22,NA,NA,2
"203","GP_V_NB",NA,NA,NA,NA,46,3
"204","PT_V_NB",NA,NA,NA,NA,NA,3
"205","MVB_V_BA",NA,NA,87,NA,45,3
"206","TVP_V_BA",NA,NA,NA,NA,34,3
"207","PVN_H_CG",NA,NA,NA,NA,NA,NA
"208","NGN_V_MA","F","A",NA,NA,NA,NA
"209","TPM_V_BA","M","A",8,NA,NA,2
"210","BP_V_BA","M","A",70,NA,NA,2
"211","BGM_V_BA",NA,"J",100,NA,NA,2
"212","BMG_V_BA","M",NA,31,NA,NA,2
"213","MPV_V_BA",NA,NA,62,NA,NA,2
"214","TNV_H_CG","F","J",NA,52,NA,1
"215","MPN_V_BA","M","J",102,NA,56,2
"216","TVP_H_CG","F","A",NA,NA,NA,1
"217","VBV_V_BA",NA,NA,NA,NA,NA,NA
"218","BPV_V_BA","F","A",NA,NA,NA,NA
"219","VBV_H_CG","F","A",65,NA,NA,2
"220","TPV_H_CG",NA,NA,NA,69,NA,1
"221","OTBb_V_BA","F","A",NA,NA,NA,NA
"222","GMP_H_BG",NA,"J",NA,NA,NA,NA
"223","GON_H_BG",NA,NA,NA,NA,NA,NA
"224","GVO_H_BG","F",NA,NA,NA,NA,NA
"225","GBV_H_BG","M","A",NA,NA,NA,NA
"226","BGM_H_BG",NA,NA,NA,NA,NA,NA
"227","GBM_H_BG",NA,NA,NA,NA,NA,NA
"228","GVOG_H_BG",NA,NA,NA,NA,NA,NA
"229","GVP_H_BG","F","A",NA,NA,NA,NA
"230","GB_H_BG",NA,NA,NA,NA,NA,1
"231","GNM_H_BG",NA,NA,NA,NA,NA,NA
"232","GV_H_BG","M","A",NA,NA,NA,NA
"233","GPM_H_BG","M","A",NA,NA,NA,NA
"234","GOB_H_BG",NA,NA,NA,38,NA,NA
"235","unmarked3",NA,NA,NA,NA,NA,NA
"236","GNT_H_BG",NA,NA,NA,NA,NA,NA
"237","GNG_H_BG",NA,NA,109,NA,NA,NA
"238","GTV_H_BG","F","A",NA,75,NA,NA
"239","GN_H_BG",NA,NA,NA,NA,NA,NA
"240","GTO_H_BG",NA,NA,NA,NA,NA,NA
"241","GNV_H_BG","M","A",NA,NA,NA,NA
"242","GTG_H_BG",NA,NA,NA,NA,50,NA
"243","GMB_H_BG",NA,NA,NA,NA,NA,NA
"244","GNO_H_BG","M","A",NA,NA,NA,NA
"245","NG_H_BG",NA,NA,NA,NA,NA,NA
"246","GPG_H_BG","M","A",NA,NA,NA,NA
"247","NB_V_MA","M",NA,NA,NA,NA,NA
"248","ON_H_MA","F","J",NA,NA,NA,NA
"249","solving BFD bird",NA,NA,NA,NA,NA,NA
"250","NBP_V_MA",NA,NA,NA,NA,NA,NA
"251","NBG_V_MA","F","J",NA,NA,NA,NA
"252","ONO_H_MA",NA,"J",NA,NA,NA,NA
"253","OMO_H_MA",NA,NA,NA,NA,NA,NA
"254","NP_H_BG",NA,NA,NA,NA,NA,NA
"255","PM_H_CG","F","A",NA,NA,NA,NA
"256","X142",NA,NA,NA,NA,NA,NA
"257","GBO_H_BG",NA,NA,NA,NA,NA,NA
"258","G_H_BG",NA,NA,NA,NA,NA,NA
"259","X143","F","A",NA,NA,NA,NA
"260","GPV_H_BG","M","A",NA,NA,NA,NA
"261","GVB_H_BG",NA,NA,NA,NA,NA,NA
"262","GMN_H_BG",NA,NA,NA,NA,NA,NA
"263","NO_H_BG",NA,NA,NA,NA,NA,NA
"264","GVT_H_BG",NA,NA,NA,NA,NA,NA
"265","GP_H_BG","M","A",NA,NA,NA,NA
"266","GPB_H_BG","M","A",NA,NA,NA,NA
"267","GVM_H_BG","F","A",NA,NA,NA,NA
"268","GTN_H_BG","M","A",NA,NA,NA,NA
"269","NV_H_BG",NA,NA,NA,NA,NA,NA
"270","TV_H",NA,NA,NA,NA,NA,NA
"271","NM_H_BG",NA,"J",42,NA,NA,NA
"272","GM_H_BG","M","J",NA,NA,NA,NA
"273","GTP_H_BG","F","A",NA,NA,NA,NA
"274","GMT_H_BG",NA,NA,NA,NA,NA,NA
"275","NVP_H_BG","M","A",NA,NA,NA,NA
"276","GMO_H_BG",NA,NA,NA,NA,NA,NA
"277","GNM_V_NB",NA,"J",NA,NA,41,3
"278","VT_H",NA,NA,NA,NA,NA,NA
"279","NVO_H_BG",NA,"J",NA,NA,NA,NA
"280","NT_H_BG",NA,NA,NA,NA,NA,NA
"281","X52","F","A",NA,NA,NA,NA
"282","X48","F","A",NA,NA,NA,NA
"283","NOP_V_MA","F","J",NA,NA,NA,NA
"284","GNB_V_NB",NA,NA,NA,NA,NA,NA
"285","OBM_H_MA","F","A",NA,NA,NA,NA
"286","OGT_H_MA",NA,"J",NA,NA,NA,NA
"287","NTG_V_MA","F","A",NA,NA,NA,NA
"288","OVO_H_MA",NA,"J",NA,NA,NA,NA
"289","ONV_H_MA",NA,NA,NA,NA,NA,NA
"290","NVN_H_BG",NA,NA,NA,NA,NA,NA
"291","GNB_H_BG",NA,NA,NA,NA,NA,NA
"292","GVN_H_BG",NA,NA,NA,NA,NA,NA
"293","NVG_H_BG",NA,NA,NA,NA,NA,NA
"294","NVB_H_BG",NA,NA,NA,NA,NA,NA
"295","NPG_H_BG",NA,NA,NA,NA,NA,NA
"296","GT_H_BG","M","A",NA,NA,NA,NA
"297","GOM_H_BG",NA,NA,NA,NA,NA,NA
"298","OVM_H_MA",NA,"J",NA,NA,NA,NA
"299","NM_V_MA",NA,NA,NA,NA,NA,NA
"300","BFDbird",NA,NA,NA,NA,NA,NA
"301","OMV_H_MA",NA,NA,NA,NA,NA,NA
"302","OMP_H_MA",NA,"J",NA,NA,NA,NA
"303","OTG_H_MA","","",NA,NA,NA,NA
"304","NP_V_MA","M","A",NA,NA,NA,NA
"305","OVB_H_MA",NA,"J",NA,NA,NA,NA
"306","NBM_H_MA",NA,NA,NA,NA,NA,NA
"307","ONB_H_MA","","",NA,NA,NA,NA
"308","OVN_H_MA",NA,NA,NA,NA,NA,NA
"309","ONM_H_MA","","",NA,NA,NA,NA
"310","OP_H_MA",NA,"J",NA,NA,NA,NA
"311","NBN_V_MA",NA,NA,92,NA,NA,NA
"312","Goatie",NA,NA,NA,NA,NA,NA
"313","OMB_H_MA","F","A",NA,NA,NA,NA
"314","NO_V_MA",NA,NA,NA,NA,NA,NA
"315","OMG_H_MA",NA,"J",NA,NA,NA,NA
"316","OB_H_MA","F","A",NA,NA,NA,NA
"317","NxG_V_MA",NA,NA,NA,NA,NA,NA
"318","OGM_H_MA",NA,"J",NA,NA,NA,NA
"319","GNB_V_BA",NA,NA,NA,NA,NA,NA
"320","NG_V_MA","M","A",NA,NA,NA,NA
"321","OM_H_MA","M","J",NA,NA,NA,NA
"322","NPV_H_BG",NA,NA,NA,NA,NA,NA
"323","N_H_BG",NA,"J",NA,NA,NA,NA
"324","NPM_H_BG",NA,NA,NA,NA,NA,NA
"325","PMB_V_NB","M","J",NA,NA,NA,NA
"326","NGB_V_MA",NA,NA,NA,NA,NA,NA
