"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"70","20190815","1","OPV_V_BA","1-RED",811.012,"8","op","Rop","R","op","BA"
"71","20190815","1","BPO_V_BA","1-RED",837.81,"6","op","Rop","R","op","BA"
"72","20190815","1","BPO_V_BA","1-RED",868.137,"10","op","Rop","R","op","BA"
"73","20190815","1","BPO_V_BA","1-RED",895.688,"7","op","Rop","R","op","BA"
"74","20190815","1","BGP_V_BA","1-RED",913.369,"6","op","Rop","R","op","BA"
"75","20190815","1","OMN_V_BA","1-RED",915.815,"6","op","Rop","R","op","BA"
"76","20190815","1","OPV_V_BA","1-RED",935.279,"7","op","Rop","R","op","BA"
"77","20190815","1","BPO_V_BA","1-RED",939.922,"7","op","Rop","R","op","BA"
"78","20190815","1","PTP_V_NB","1-RED",943.977,"7","op","Rop","R","op","BA"
"79","20190815","1","BGP_V_BA","1-RED",959.448,"6","op","Rop","R","op","BA"
"80","20190815","1","BPO_V_BA","1-RED",979.497,"4","op","Rop","R","op","BA"
"81","20190815","1","BPO_V_BA","1-BLUE",986.532,"6","op","Bop","B","op","BA"
"82","20190815","1","BPO_V_BA","1-BLUE",993.902,"6","op","Bop","B","op","BA"
"83","20190815","1","BOM_V_BA","1-RED",1013.606,"4","op","Rop","R","op","BA"
"84","20190815","1","MTP_V_BA","1-RED",1017.441,"3","op","Rop","R","op","BA"
"85","20190815","1","BPO_V_BA","1-BLUE",1022.342,"3","op","Bop","B","op","BA"
"86","20190815","1","BPO_V_BA","1-BLUE",1052.141,"6","op","Bop","B","op","BA"
"87","20190815","1","BGP_V_BA","1-RED",1066.376,"3","op","Rop","R","op","BA"
"88","20190815","1","OPV_V_BA","1-RED",1076.324,"4","op","Rop","R","op","BA"
"89","20190815","1","BPO_V_BA","1-RED",1086.144,"4","op","Rop","R","op","BA"
"90","20190815","1","BPO_V_BA","1-RED",1107.347,"7","op","Rop","R","op","BA"
"91","20190815","1","OPV_V_BA","1-RED",1114.771,"8","op","Rop","R","op","BA"
"92","20190815","1","TMG_V_BA","1-RED",1122.183,"6","op","Rop","R","op","BA"
"93","20190815","1","BPO_V_BA","1-RED",1141.633,"6","op","Rop","R","op","BA"
"94","20190815","1","MTP_V_BA","1-BLUE",1158.958,"5","op","Bop","B","op","BA"
"95","20190815","1","BOM_V_BA","1-RED",1164.656,"5","op","Rop","R","op","BA"
