"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"2122",2122,20190824,1,"BBV_V_BA","1-RED",541.636,NA,"op","Rop","R","op","BA",1,0,1,5,1,9,2122,2,0
"1148",1148,20190821,2,"BG_V_BA","1-RED",336.03,6,"op","Rop","R","op","BA",1,0,1,6,0,0,1148,3,0
"1151",1151,20190821,2,"BG_V_BA","1-RED",349.402,5,"op","Rop","R","op","BA",1,0,1,6,0,0,1151,3,0
"1185",1185,20190821,2,"BG_V_BA","1-RED",480.663,5,"op","Rop","R","op","BA",1,0,1,6,0,0,1185,3,0
"1213",1213,20190821,2,"BG_V_BA","1-RED",581.882,9,"op","Rop","R","op","BA",1,0,1,6,0,0,1213,3,0
"1235",1235,20190821,2,"BG_V_BA","1-RED",672.574,11,"op","Rop","R","op","BA",1,0,1,6,0,0,1235,3,0
"1538",1538,20190822,1,"BG_V_BA","1-RED",222.325,15,"op","Rop","R","op","BA",1,0,1,6,0,0,1538,3,0
"1569",1569,20190822,1,"BG_V_BA","1-RED",276.202,10,"op","Rop","R","op","BA",1,0,1,6,0,0,1569,3,0
"1580",1580,20190822,2,"BG_V_BA","1-RED",299.32,11,"op","Rop","R","op","BA",1,0,1,6,0,0,1580,3,0
"1594",1594,20190822,1,"BG_V_BA","1-RED",322.807,7,"op","Rop","R","op","BA",1,0,1,6,0,0,1594,3,0
"1621",1621,20190822,2,"BG_V_BA","1-RED",367.682,8,"op","Rop","R","op","BA",1,0,1,6,0,0,1621,3,0
"1632",1632,20190822,1,"BG_V_BA","1-RED",390.411,5,"op","Rop","R","op","BA",1,0,1,6,0,0,1632,3,0
"1644",1644,20190822,1,"BG_V_BA","1-RED",409.11,9,"op","Rop","R","op","BA",1,0,1,6,0,0,1644,3,0
"1658",1658,20190822,2,"BG_V_BA","1-RED",437.558,5,"op","Rop","R","op","BA",1,0,1,6,0,0,1658,3,0
"1673",1673,20190822,2,"BG_V_BA","1-RED",470.039,8,"op","Rop","R","op","BA",1,0,1,6,0,0,1673,3,0
"1694",1694,20190822,2,"BG_V_BA","1-RED",505.093,10,"op","Rop","R","op","BA",1,0,1,6,0,0,1694,3,0
"1706",1706,20190822,2,"BG_V_BA","1-RED",523.479,7,"op","Rop","R","op","BA",1,0,1,6,0,0,1706,3,0
"1736",1736,20190822,1,"BG_V_BA","1-RED",598.573,8,"op","Rop","R","op","BA",1,0,1,6,0,0,1736,3,0
"1745",1745,20190822,1,"BG_V_BA","1-RED",629.776,9,"op","Rop","R","op","BA",1,0,1,6,0,0,1745,3,0
"1883",1883,20190822,1,"BG_V_BA","1-RED",1088.084,9,"op","Rop","R","op","BA",1,0,1,6,0,0,1883,3,0
"1897",1897,20190822,1,"BG_V_BA","1-RED",1117.405,9,"op","Rop","R","op","BA",1,0,1,6,0,0,1897,3,0
"1925",1925,20190822,1,"BG_V_BA","1-RED",1166.32,8,"op","Rop","R","op","BA",1,0,1,6,0,0,1925,3,0
"2322",2322,20190825,1,"BG_V_BA","1-RED",296.304,5,"op","Rop","R","op","BA",1,0,1,6,0,0,2322,3,0
"2334",2334,20190825,1,"BG_V_BA","1-RED",331.103,7,"op","Rop","R","op","BA",1,0,1,6,0,0,2334,3,0
"2354",2354,20190825,1,"BG_V_BA","1-BLUE",370.706,7,"op","Bop","B","op","BA",0,1,1,6,0,0,2354,3,0
"2366",2366,20190825,1,"BG_V_BA","1-RED",401.001,4,"op","Rop","R","op","BA",1,0,1,6,0,0,2366,3,0
"2387",2387,20190825,1,"BG_V_BA","1-RED",439.131,10,"op","Rop","R","op","BA",1,0,1,6,0,0,2387,3,0
"2415",2415,20190825,1,"BG_V_BA","1-RED",485.573,7,"op","Rop","R","op","BA",1,0,1,6,0,0,2415,3,0
"2445",2445,20190825,1,"BG_V_BA","1-RED",530.835,8,"op","Rop","R","op","BA",1,0,1,6,0,0,2445,3,0
"2453",2453,20190825,1,"BG_V_BA","1-RED",562.323,8,"op","Rop","R","op","BA",1,0,1,6,0,0,2453,3,0
"2497",2497,20190825,1,"BG_V_BA","1-RED",686.59,10,"op","Rop","R","op","BA",1,0,1,6,0,0,2497,3,0
"2620",2620,20190825,1,"BG_V_BA","1-RED",988.39,5,"op","Rop","R","op","BA",1,0,1,6,0,0,2620,3,0
